flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.407936,0.000000,0.00,0.00
0.400505,0.000000,0.00,0.00
0.393755,0.000000,0.00,0.00
0.387708,0.000000,0.00,0.00
0.382380,0.000000,0.00,0.00
0.377778,0.000000,0.00,0.00
0.373899,0.000000,0.00,0.00
0.370732,0.000000,0.00,0.00
0.368259,0.000000,0.00,0.00
0.366454,0.000000,0.00,0.00
0.365284,0.000000,0.00,0.00
0.364713,0.000000,0.00,0.00
0.364698,0.000000,0.00,0.00
0.365194,0.000000,0.00,0.00
0.366153,0.000000,0.00,0.00
0.367527,0.000000,0.00,0.00
0.369268,0.000000,0.00,0.00
0.371329,0.000000,0.00,0.00
0.373664,0.000000,0.00,0.00
0.376232,0.000000,0.00,0.00
0.378994,0.000000,0.00,0.00
0.381917,0.000000,0.00,0.00
0.384971,0.000000,0.00,0.00
0.388130,0.000000,0.00,0.00
0.391375,0.000000,0.00,0.00
0.394689,0.000000,0.00,0.00
0.398061,0.000000,0.00,0.00
0.401481,0.000000,0.00,0.00
0.404946,0.000000,0.00,0.00
0.408452,0.000000,0.00,0.00
0.411999,0.000000,0.00,0.00
0.415587,0.000000,0.00,0.00
0.419218,0.000000,0.00,0.00
0.422892,0.000000,0.00,0.00
0.426611,0.000000,0.00,0.00
0.430376,0.000000,0.00,0.00
0.434185,0.000000,0.00,0.00
0.438037,0.000000,0.00,0.00
0.441928,0.000000,0.00,0.00
0.445853,0.000000,0.00,0.00
0.449806,0.000000,0.00,0.00
0.453780,0.000000,0.00,0.00
0.457764,0.000000,0.00,0.00
0.461748,0.000000,0.00,0.00
0.465719,0.000000,0.00,0.00
0.469665,0.000000,0.00,0.00
0.473570,0.000000,0.00,0.00
0.477419,0.000000,0.00,0.00
0.481194,0.000000,0.00,0.00
0.484878,0.000000,0.00,0.00
0.488453,0.000000,0.00,0.00
0.491901,0.000000,0.00,0.00
0.495201,0.000000,0.00,0.00
0.498337,0.000000,0.00,0.00
0.501290,0.000000,0.00,0.00
0.504043,0.000000,0.00,0.00
0.506581,0.000000,0.00,0.00
0.508887,0.000000,0.00,0.00
0.510951,0.000000,0.00,0.00
0.512761,0.000000,0.00,0.00
0.514309,0.000000,0.00,0.00
0.515589,0.000000,0.00,0.00
0.516596,0.000000,0.00,0.00
0.517329,0.000000,0.00,0.00
0.517788,0.000000,0.00,0.00
0.517974,0.000000,0.00,0.00
0.517891,0.000000,0.00,0.00
0.517541,0.000000,0.00,0.00
0.516930,0.000000,0.00,0.00
0.516061,0.000000,0.00,0.00
0.514939,0.000000,0.00,0.00
0.513567,0.000000,0.00,0.00
0.511946,0.000000,0.00,0.00
0.510078,0.000000,0.00,0.00
0.507963,0.000000,0.00,0.00
0.505599,0.000000,0.00,0.00
0.502984,0.000000,0.00,0.00
0.500114,0.000000,0.00,0.00
0.496985,0.000000,0.00,0.00
0.493593,0.000000,0.00,0.00
0.489934,0.000000,0.00,0.00
0.486004,0.000000,0.00,0.00
0.481800,0.000000,0.00,0.00
0.477321,0.000000,0.00,0.00
0.472567,0.000000,0.00,0.00
0.467539,0.000000,0.00,0.00
0.462243,0.000000,0.00,0.00
0.456682,0.000000,0.00,0.00
0.450865,0.000000,0.00,0.00
0.444799,0.000000,0.00,0.00
0.438495,0.000000,0.00,0.00
0.431964,0.000000,0.00,0.00
0.425215,0.000000,0.00,0.00
0.418261,0.000000,0.00,0.00
0.411112,0.000000,0.00,0.00
0.403777,0.000000,0.00,0.00
0.396264,0.000000,0.00,0.00
0.388580,0.000000,0.00,0.00
0.380730,0.000000,0.00,0.00
0.372716,0.000000,0.00,0.00
0.364540,0.000000,0.00,0.00
0.356199,0.000000,0.00,0.00
0.347691,0.000000,0.00,0.00
0.339012,0.000000,0.00,0.00
0.330153,0.000000,0.00,0.00
0.321110,0.000000,0.00,0.00
0.311874,0.000000,0.00,0.00
0.302439,0.000000,0.00,0.00
0.292798,0.000000,0.00,0.00
0.282947,0.000000,0.00,0.00
0.272885,0.000000,0.00,0.00
0.262611,0.000000,0.00,0.00
0.252131,0.000000,0.00,0.00
0.241455,0.000000,0.00,0.00
0.230598,0.000000,0.00,0.00
0.219580,0.000000,0.00,0.00
0.208427,0.000000,0.00,0.00
0.197175,0.000000,0.00,0.00
0.185863,0.000000,0.00,0.00
0.174537,0.000000,0.00,0.00
0.163253,0.000000,0.00,0.00
0.152068,0.000000,0.00,0.00
0.141048,0.000000,0.00,0.00
0.130264,0.000000,0.00,0.00
0.119786,0.000000,0.00,0.00
0.109692,0.000000,0.00,0.00
0.100058,0.000000,0.00,0.00
0.090960,0.000000,0.00,0.00
0.082473,0.000000,0.00,0.00
0.074668,0.000000,0.00,0.00
0.067612,0.000000,0.00,0.00
0.061369,0.000000,0.00,0.00
0.055994,0.000000,0.00,0.00
0.051534,0.000000,0.00,0.00
0.048032,0.000000,0.00,0.00
0.045521,0.000000,0.00,0.00
0.044025,0.000000,0.00,0.00
0.043562,0.000000,0.00,0.00
0.044141,0.000000,0.00,0.00
0.045766,0.000000,0.00,0.00
0.048434,0.000000,0.00,0.00
0.052134,0.000000,0.00,0.00
0.056855,0.000000,0.00,0.00
0.062577,0.000000,0.00,0.00
0.069281,0.000000,0.00,0.00
0.076941,0.000000,0.00,0.00
0.085531,0.000000,0.00,0.00
